text,label
Scientists discover new species of butterfly in Amazon rainforest,REAL
President signs executive order on immigration policy,REAL
Stock market closes higher following positive economic data,REAL
Federal Reserve maintains interest rates unchanged,REAL
Local team wins championship after overtime victory,REAL
City council approves new budget for public transportation,REAL
Technology company announces quarterly earnings beat expectations,REAL
Central bank reports inflation within target range,REAL
Weather service issues heat advisory for the region,REAL
Researchers find link between diet and longevity in new study,REAL
Education department launches new literacy program for schools,REAL
Revolutionary treatment shows promise in clinical trials,REAL
International trade agreement signed between major economies,REAL
Government announces new infrastructure spending plan worth billions,REAL
Local weather forecast predicts rain for the weekend,REAL
Expert analysis shows economic indicators trending upward,REAL
Doctors recommend daily exercise for better health outcomes,REAL
Local event draws thousands of visitors to downtown area,REAL
Home team defeats rivals in season opener,REAL
Pentagon on high alert after unusual military movements detected,FAKE
Celebrity spotted drinking water - details inside,FAKE
Cures diabetes overnight with this one weird trick,FAKE
Anonymous sources confirm alien landing scheduled for next month,FAKE
Miracle supplement makes you lose 30 pounds in one week,FAKE
Breaking news: Government to announce major policy change tomorrow,FAKE
Secret cure for cancer found but being suppressed by big pharma,FAKE
Ancient prophecy predicts world ending next year,FAKE
Political scandal revealed involving high-ranking officials,FAKE
You wont believe what this celebrity said about the election,FAKE
Amazing deal: Buy one get one free at local store,FAKE
Doctors shocked to discover incredible weight loss secret,FAKE
Elon Musk confirms Mars colony launch date moved up to next month,FAKE
Scientists admit this one kitchen ingredient cures all diseases,FAKE
Government hides evidence of UFO contact from public,FAKE
Major bank announces free money for all customers,FAKE
Celebrity pregnancy announced after shocking discovery,FAKE
World leaders meet in secret to plan new world order,FAKE
Police discover massive conspiracy involving top officials,FAKE
Miracle mineral solution cures cancer instantly,FAKE
Ancient text reveals pyramid built by aliens,FAKE
Scientists confirm ghosts exist after new study,FAKE
Internet mogul gives away millions to random strangers,FAKE
Pharmaceutical companies hide cure for common cold to profit,FAKE
NASA scientist confirms earth is actually flat,FAKE
Shocking truth about food industry finally revealed,FAKE
Celebrity couple announces surprise divorce on live TV,FAKE
Government plot to control minds through water supply exposed,FAKE
Revolutionary pill allows humans to live forever,FAKE
Mysterious government facility found with alien technology,FAKE
Scientists discover hidden continent beneath Antarctica,FAKE
Breaking: Time traveler from 2050 warns about future events,FAKE
Medical experts recommend drinking bleach to cure infections,FAKE
Local school district announces plans for new sports facility,REAL
Fire department responds to structure fire in downtown area,REAL
City councilmember elected to serve second term,REAL
Public library extends weekend hours for community,REAL
Transit authority adds new bus routes starting next month,REAL
Animal shelter reports increase in adoptions this year,REAL
Community garden project receives neighborhood grant,REAL
Hospital announces new pediatric wing construction,REAL
State university enrollment numbers reach record high,REAL
Environmental agency reports improved air quality metrics,REAL
Historical society commemorates founding of the city,REAL
Parks department schedules summer recreation programs,REAL
Food bank organizes annual Thanksgiving food drive,REAL
Youth sports league registration opens for fall season,REAL
Senior center expands meal delivery services,REAL
Municipal court processes routine traffic violations,REAL
